Column1,Column4,Column2,Column3,Column5
do you have any promotions or discounts currently available?,5,Gibt es derzeit Sonderaktionen oder Rabatte?,phrase,
do you have any questions about our products?,5,Haben Sie Fragen zu unseren Produkten?,phrase,
do you have any special needs or requests?,5,Haben Sie besondere Bedürfnisse oder Anfragen?,phrase,
ID,46,Ausweis,word,
idea,70,Idee,word,
imagine,80,sich vorstellen,word,
immigration,55,Einwanderung,word,
important,10,wichtig,word,
in,1,in,word,
infection,55,Infektion,word,
inflammatory,95,entzündungshemmend,word,
ingredients,70,Zutaten,word,
inhaler,50,Inhalator,word,
injection,50,Injektion,word,
insane,40,wahnsinnig,word,
insomnia,65,Schlaflosigkeit,word,
insulin,50,Insulin,word,
insurance,30,Versicherung,word,
intense,72,intensiv,word,
interactions,75,Wechselwirkungen,word,
interesting,80,interessant,word,
interests,60,Interessen,word,
intersection,55,Kreuzung,word,
is,1,ist,word,
do you have your own bags or do you need some?,5,Haben Sie eigene Taschen oder brauchen Sie welche?,phrase,
everything is clear,5,alles ist klar,phrase,S'isch alles klar
have you packed any liquids or prohibited items in your bags?,5,Haben Sie Flüssigkeiten oder verbotene Gegenstände im Gepäck?,phrase,
how often does the bus/train come?,5,Wie oft fährt der Bus/Zug?,phrase,
how was your dining experience with us today?,5,Wie war Ihr Restaurantbesuch heute?,phrase,
how was your experience at our bar today?,5,Wie war Ihr Erlebnis in unserer Bar heute?,phrase,
how was your shopping experience with us today?,5,Wie war Ihr Einkaufserlebnis bei uns heute?,phrase,
it,1,es,word,
i have no idea,5,Ich habe keine Ahnung,phrase,I ha kei Ahnig
it's a long story,20,es ist eine lange Geschichte,phrase,S'isch e langi Gschicht
it's a long way,20,es ist ein weiter Weg,phrase,S'isch e lange Wäg
it's a small world,30,die Welt ist klein / es ist eine kleine Welt,phrase,S'isch e chline Wält / Das isch e chline Welt
is everything to your satisfaction?,5,Ist alles zu Ihrer Zufriedenheit?,phrase,
is there free wi-fi available in the airport?,5,Gibt es kostenloses WLAN im Flughafen?,phrase,
is this your final destination or do you have a connecting flight?,5,Ist dies Ihr endgültiges Reiseziel oder haben Sie einen Anschlussflug?,phrase,
it's no problem for me,5,es ist kein Problem für mich,phrase,Es isch kei Problem für mich
it was good,5,Es war gut,phrase,Es isch guet gsi
that's enough,5,das reicht,phrase,
we don't have any more time,5,wir haben keine Zeit mehr,phrase,Mir händ kei Ziit meh
item,20,Artikel/Gegenstand,word,
items,28,Artikel/Gegenstände,word,
job,30,Arbeit,word,
journey,60,Reise,word,
juice,60,Saft,word,
jump,70,springen,word,
kebab,95,Döner Kebab,word,
kind,20,nett,word,
kitchen,70,Küche,word,
knife,65,Messer,word,
"kottbusser tor, a subway station in berlin",20,"Kottbusser Tor, eine U-Bahn-Station in Berlin",phrase,Kotti
label,65,Etikett,word,
lake,60,See,word,
landmark,60,Wahrzeichen,word,
last,50,letzte,word,
laugh,40,lachen,word,
lawyer,80,Anwalt,word,
learn,40,lernen,word,
leave,30,verlassen,word,
lentils,30,Linsen,word,
light,20,leicht,word,
light rail,80,Straßenbahn,word,
lighting,70,Beleuchtung,word,
like,5,mögen/gerne haben,word,
liquids,51,Flüssigkeiten,word,
list,30,Liste,word,
listen,40,zuhören,word,
local,60,lokal,word,
locally sourced,90,regional bezogen,word,
long,50,lang,word,
looking,20,aussehend/schauend,word,
loss,55,Verlust,word,
lot,35,Menge,word,
loud,23,laut,word,
love,80,lieben,word,
low,19,niedrig,word,
loyalty,80,Treue,word,
loyalty program,95,Treueprogramm,word,
luggage,40,Gepäck,word,
luggage carousel,95,Gepäckband,word,
lunch,50,Mittagessen,word,
machine,23,Maschine,word,
mailing,40,Postversand,word,
man,40,Mann,word,
matter,29,Angelegenheit,word,
me,1,mich/mir,word,
meal,20,Mahlzeit,word,
meat,60,Fleisch,word,
medication,30,Medikament,word,
meet,50,treffen,word,
menu,20,Menü,word,
meter,95,Meter,word,
metro,45,U-Bahn,word,
migraines,70,Migräne,word,
mild,48,mild,word,
mind,40,Geist,word,
mints,75,Minzbonbons,word,
mixologist,90,Barkeeper,word,
modern,37,modern,word,
money,40,Geld,word,
monitor,65,überwachen,word,
monorail,60,Einschienenbahn,word,
month,60,Monat,word,
moon,25,Mond,word,
more,30,mehr,word,
"more, please",20,"mehr, bitte",phrase,
morning,30,Morgen,word,
mountain,60,Berg,word,
mountain hiking,60,Bergwandern,word,
movie,21,Film,word,
much,20,viel,word,
mullet,93,Vokuhila,word,
museums,40,Museen,word,
music,30,Musik,word,
my,1,mein/meine,word,
what are your interests?,5,was sind deine Interessen?,phrase,Was hesch für Interesse?
nail,65,Nagel,word,
nail fungus,95,Nagelpilz,word,
name,20,Name,word,
napkin,70,Serviette,word,
narrow,95,eng,word,
narrow-minded,60,engstirnig,word,
nasal,95,nasal,word,
nasal spray,55,Nasenspray,word,
natural,50,natürlich,word,
natural products,95,Naturprodukte,word,
nearest,60,nächstgelegen,word,
need,20,brauchen,word,
needs,41,Bedürfnisse,word,
neighborhood,50,Nachbarschaft,word,
new,30,neu,word,
news,30,Nachricht,word,
nice,20,nett,word,
what is the fare to [destination]?,5,Wie viel kostet die Fahrt nach [Ziel]?,phrase,
night,20,Nacht,word,
nightlife,50,Nachtleben,word,
no,1,nein/kein,word,
nonsense,20,Unsinn,word,
not,1,nicht,word,
now,1,jetzt,word,
number,60,Nummer,word,
nurse,80,Krankenschwester,word,
oats,30,Haferflocken,word,
occasion,30,Gelegenheit/Anlass,word,
of,1,von,word,
off,1,aus/offen,word,
offer,20,Angebot,word,
office,32,Büro,word,
often,50,oft,word,
oh,1,oh,word,
what time does the last bus/train leave?,5,Um wie viel Uhr fährt der letzte Bus/Zug ab?,phrase,
ointment,50,Salbe,word,
okay,5,okay,word,
old,30,alt,word,
on,1,auf/an,word,
onion,25,Zwiebel,word,
only,65,nur,word,
or,1,oder,word,
order,60,Bestellung,word,
organic,70,biologisch,word,
organic products,95,Bio-Produkte,word,
osteoporosis,70,Osteoporose,word,
other,20,andere,word,
our,30,unser/e,word,
out,1,raus/auf/aus,word,
outdoor,60,im Freien,word,
outdoor seating,95,Außensitzplätze,word,
over (above),20,über,word,
over (finished),20,vorbei,word,
owe,50,schulden,word,
own,30,eigene/r/s,word,
packed,60,verpackt,word,
pain,60,Schmerz,word,
what time is my connecting flight?,5,Um welche Uhrzeit ist mein Anschlussflug?,phrase,
parking,20,Parkplatz/Parken,word,
parks,50,Parks,word,
pass,40,Pass,word,
passport,45,Reisepass,word,
pasta,60,Nudeln,word,
pay,20,bezahlen/zahlen,word,
payment,60,Zahlung,word,
peanut,60,Erdnuss,word,
peanut butter,70,Erdnussbutter,word,
pedestrian,40,Fußgänger,word,
pedicab,70,Fahrradtaxi,word,
pen,20,Stift,word,
pencil,26,Bleistift,word,
person,20,Person,word,
pharmacist,50,Apotheker,word,
pharmacy,42.5,Apotheke,word,
philharmonic,40,Philharmonie,word,
phone,20,Telefon,word,
piece,40,Stück,word,
pill,35,Pille,word,
place,23,Ort/Platz,word,
plate,70,Teller,word,
platform,50,Plattform,word,
play,80,spielen,word,
please,5,bitte,word,
please fasten your seatbelt and return your tray table to the upright position,20,Bitte schnallen Sie Ihren Sicherheitsgurt an und bringen Sie Ihren Tisch in die aufrechte Position zurück,phrase,
please place all electronics and liquids in the bins for the x-ray machine,20,Bitte legen Sie alle Elektronikgeräte und Flüssigkeiten in die Behälter für das Röntgengerät,phrase,
please proceed to the security checkpoint,30,Bitte gehen Sie zur Sicherheitskontrolle,phrase,
police,50,Polizei,word,
policy,70,Richtlinie,word,
poor,33,arm,word,
position,38,Position,word,
prefer,30,bevorzugen,word,
preference,63,Vorliebe,word,
preferences,63,Vorlieben,word,
pregnancy,50,Schwangerschaft,word,
pregnancy test,95,Schwangerschaftstest,word,
prepaid,67,im Voraus bezahlt,word,
prescription,25,Rezept,word,
presentation,70,Präsentation,word,
pressure,50,Druck,word,
price,30,Preis,word,
prices,20,Preise,word,
problem,50,Problem,word,
problems,60,Probleme,word,
proceed,33,fortfahren,word,
produce,60,produzieren,word,
product,20,Produkt,word,
products,36,Produkte,word,
program,58,Programm,word,
prohibited,68,verboten,word,
promotions,86,Werbeaktionen,word,
public,70,öffentlich,word,
public transportation,30,öffentliche Verkehrsmittel,word,
purchase,45,Kauf,word,
purpose,46,Zweck,word,
questions,19,Fragen,word,
quiet,22,leise/ruhig,word,
raclette,85,Raclette,word,
rail,50,Bahn,word,
raincheck,60,Regencheck,word,
rash,65,Ausschlag,word,
ray,61,Strahl,word,
read,50,lesen,word,
reasonable,40,vernünftig,word,
receipt,45,Quittung,word,
receive,80,empfangen,word,
recipe,60,Rezept,word,
recommend,30,empfehlen,word,
recommendations,40,Empfehlungen,word,
refill,30,Nachfüllen,word,
reflux,70,Reflux,word,
refund,70,Rückerstattung,word,
relax,37,entspannen,word,
relaxed,50,entspannt,word,
remember,80,sich erinnern,word,
repeat,50,wiederholen,word,
requests,51,Anfragen,word,
required,50,erforderlich,word,
reservation,60,Reservierung,word,
resort,60,Ferienort,word,
restrictions,30,Beschränkungen,word,
restroom,5,Toilette,word,
return,45,zurückkehren,word,
return policy,95,Rückgabebedingungen,word,
rewards,73,Belohnungen,word,
rice,30,Reis,word,
rich,24,reich,word,
ride,70,Fahrt,word,
